outcome,effect,mean,sd,se,ci_low,ci_high,worlds
true_value_recovered,gate_main_effect,6.304489641171095e-05,0.032855698192036584,0.001896924619558542,-0.003654927357923031,0.003781017150746453,300
true_value_recovered,triage_allocation_main_effect,0.08760204830735484,0.09363418179743857,0.005405972006610151,0.07700634317439894,0.09819775344031073,300
true_value_recovered,gate_x_triage_interaction,0.0021074697332080805,0.06673937848718654,0.0038531998135125467,-0.005444801901276511,0.009659741367692673,300
true_value_recovered,gate_effect_under_concentrated,-0.0009906899701923296,0.05352109452862582,0.003090041833342552,-0.007047171963543731,0.005065792023159072,300
true_value_recovered,gate_effect_under_triage,0.0011167797630157509,0.03900716047417783,0.00225207946000895,-0.0032972959786017907,0.005530855504633293,300
true_value_recovered,triage_effect_under_gate,0.08865578317395889,0.09913084818431277,0.0057233221884208894,0.07743807168465394,0.09987349466326384,300
true_value_recovered,triage_effect_under_no_gate,0.08654831344075083,0.0996738042839655,0.005754669773450155,0.07526916068478852,0.09782746619671313,300
score,gate_main_effect,-0.004427266719524383,0.04432528241581879,0.002559121373467916,-0.009443144611521497,0.0005886111724727324,300
score,triage_allocation_main_effect,0.12381229291265147,0.1360800322744675,0.007856584326499676,0.1084133876327121,0.13921119819259084,300
score,gate_x_triage_interaction,0.003224499965228901,0.0841870649587237,0.004860542461620363,-0.006302163259547012,0.012751163190004813,300
score,gate_effect_under_concentrated,-0.006039516702138833,0.0704561940367983,0.0040677902593222,-0.014012385610410344,0.001933352206132678,300
score,gate_effect_under_triage,-0.002815016736909932,0.050091087006726036,0.002892010256733424,-0.008483356840107443,0.0028533233662875793,300
score,triage_effect_under_gate,0.12542454289526592,0.14145576122526282,0.00816695218218289,0.10941731661818746,0.14143176917234437,300
score,triage_effect_under_no_gate,0.12220004293003701,0.14342088040799303,0.00828040839109679,0.1059704424834873,0.13842964337658673,300
