regime,system,true_value_win_share,score_win_share
independent,peer_review,0.08,0.04666666666666667
independent,open,0.14,0.16666666666666666
independent,open_triage,0.47333333333333333,0.51
independent,hybrid,0.30666666666666664,0.27666666666666667
multifield_moderate,peer_review,0.13333333333333333,0.09
multifield_moderate,open,0.19333333333333333,0.19
multifield_moderate,open_triage,0.38,0.43
multifield_moderate,hybrid,0.29333333333333333,0.29
multifield_strong,peer_review,0.20666666666666667,0.06333333333333334
multifield_strong,open,0.26666666666666666,0.21
multifield_strong,open_triage,0.2733333333333333,0.43333333333333335
multifield_strong,hybrid,0.25333333333333335,0.29333333333333333
