scenario,generations,mean_recovery_gap,open_higher_recovery_share,mean_extra_missed_value_peer,mean_attribution_integrity_gap,mean_extra_backlog_peer
all,1,0.07562778936614188,0.8166666666666667,12.115807030861886,0.08804500349419028,12.115807030861886
all,3,0.05920768435308524,0.8666666666666667,28.604448377583033,0.1077782161513353,28.604448377583036
all,5,0.045274015092469436,0.8916666666666667,36.107534413825924,0.1101154584330535,36.10753441382592
all,10,0.028141643358913344,0.8833333333333333,46.645123703112255,0.11262857834614196,46.645123703112226
all,15,0.023798558893542866,0.9333333333333333,57.724844758272184,0.11422249279379383,50.92624977852928
baseline,1,0.07212640663296394,0.8416666666666667,12.17510799640445,0.0965674260275093,12.175107996404453
baseline,3,0.05249445899394264,0.8666666666666667,26.202826727326176,0.11032396848186368,26.202826727326183
baseline,5,0.03382210112536175,0.8666666666666667,27.77948777188343,0.10597296084793492,27.77948777188342
baseline,10,0.018355785170323286,0.8916666666666667,30.803581304187155,0.09958330056827626,30.80358130418715
baseline,15,0.012456158108335832,0.875,31.92516285367633,0.09510216423181113,31.771061301203535
